model	price(₽)	old_price(₽)	rating	rating_count	company	color	release_date	country	weight(g)	diagonal(inches)	display	refresh_rate(Hz)	memory(Gb)	ram(Gb)	battery(mAh)	processor	front_camera(Mpix)	main_camera
Смартфон Xiaomi Redmi Note 13 8/512GB Ice Blue  RU	25999	26999	5	2	Xiaomi	Голубой	2024-08	Китай	188	6.67	AMOLED	120	512	8	5000	8-ядерный Qualcomm Snapdragon 685 2.80 ГГц	16	Три модуля (108 + 8 + 2 Mpix)
Смартфон Samsung Galaxy A15 4/128GB Голубой EAC	14999	15999			Samsung	Голубой	2024-01		200	6.5	AMOLED		128	4	5000	8-ядерный MediaTek Helio G99 2.00 ГГц	13	Три модуля (50 + 5 + 2 Mpix + 3D ToF)
Смартфон TECNO Spark 20 Pro+ 8/256GB Черный RU	20999	23999	5	1	TECNO	Черный	2024-02	Китай	206	6.8	AMOLED	120	256	8	5000	8-ядерный MediaTek Helio G99 Ultimate 2.00 ГГц	32	Три модуля (108 + 2 + 0.08 Mpix)
Смартфон HONOR X6a 128GB Небесно-голубой EAC	16999	18999			HONOR	Голубой		Китай	188	6.56	TFT LCD		128	6	5200	8-ядерный MediaTek Helio G36 2.20 ГГц	5	Три модуля (50 + 2 + 2 Mpix)
Смартфон Infinix HOT 30i 8/128 Белый RU	8999	13990	3.8	6	Infinix	Белый	2023-07	Китай	191	6.56	IPS	90	128	8	5000	8-ядерный Unisoc T606 1.60 ГГц	8	Два модуля (13 + 0.30 Mpix)
Смартфон Infinix Smart 8 4/128GB Зеленый RU	8499	11999	5	2	Infinix	Зеленый	2023-11	Китай	184	6.56	HD Plus IPS	60	128	4	5000	8-ядерный Unisoc T606 2.20 ГГц	8	Два модуля (13 + 0.30 Mpix)
Смартфон Xiaomi Redmi Note 13 Pro 8GB/256GB Forest Green RU	29999	34999			Xiaomi	Зеленый	2024-02	Китай	187	6.67	AMOLED	120	256	8	5000	8-ядерный MediaTek Helio G99 Ultra 2.20 ГГц	16	Три модуля (200 + 8 + 2 Mpix)
Смартфон HUAWEI nova 10 SE 128GB Серебристый RU	13999		4.8	8	HUAWEI	Серебристый	2023-03	Китай	184	6.67	OLED		128	8	4500	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	16	Три модуля (108 + 8 + 2 Mpix)
Смартфон Infinix HOT 40 Pro 8/256 Золотистый RU	16999	19999			Infinix	Золотистый	2024-02	Китай	202	6.78	Full HD+	90	256	8	5000	8-ядерный MediaTek Helio G99 2.20 ГГц	32	Два модуля (108 + 2 Mpix)
Смартфон TECNO Camon 19 128GB Эко-черный RU	9999		5	14	TECNO	Черный	2022-07	Китай	205	6.8	Full HD+		128	6	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	16	Три модуля (64 + 50 + 2 Mpix)
