model	price(₽)	old_price(₽)	rating	rating_count	company	color	release_date	country	weight(g)	diagonal(inches)	display	refresh_rate(Hz)	memory(Gb)	ram(Gb)	battery(mAh)	processor	front_camera(Mpix)	main_camera
Смартфон Xiaomi Redmi Note 13 8/512GB Ice Blue  RU	25 999	26 999	5.0	2	Xiaomi	Голубой	Август 2024 г.	Китай	188 г	6.67 ''	AMOLED	120 Гц	512 ГБ	8 ГБ	5000	8-ядерный Qualcomm Snapdragon 685 2.80 ГГц	16 Mpix	Три модуля (108 + 8 + 2 Mpix)
Смартфон Samsung Galaxy A15 4/128GB Голубой EAC	14 999	15 999			Samsung	Голубой	Январь 2024 г.		200 г	6.5 ''	AMOLED		128 ГБ	4 ГБ	5000	8-ядерный MediaTek Helio G99 2.00 ГГц	13 Mpix	Три модуля (50 + 5 + 2 Mpix + 3D ToF)
Смартфон TECNO Spark 20 Pro+ 8/256GB Черный RU	20 999	23 999	5.0	1	TECNO	Черный	Февраль 2024 г.	Китай	206 г	6.8 ''	AMOLED	120 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G99 Ultimate 2.00 ГГц	32 Mpix	Три модуля (108 + 2 + 0.08 Mpix)
Смартфон HONOR X6a 128GB Небесно-голубой EAC	16 999	18 999			HONOR	Голубой		Китай	188 г	6.56 ''	TFT LCD		128 ГБ	6 ГБ	5200	8-ядерный MediaTek Helio G36 2.20 ГГц	5 Mpix	Три модуля (50 + 2 + 2 Mpix)
Смартфон Infinix HOT 30i 8/128 Белый RU	8 999	13 990	3.8	6	Infinix	Белый	Июль 2023 г.	Китай	191 г	6.56 ''	IPS	90 Гц	128 ГБ	8 ГБ	5000	8-ядерный Unisoc T606 1.60 ГГц	8 Mpix	Два модуля (13 + 0.30 Mpix)
Смартфон Infinix Smart 8 4/128GB Зеленый RU	8 499	11 999	5.0	2	Infinix	Зеленый	Ноябрь 2023 г.	Китай	184 г	6.56 ''	HD Plus IPS	60 Гц	128 ГБ	4 ГБ	5000	8-ядерный Unisoc T606 2.20 ГГц	8 Mpix	Два модуля (13 + 0.30 Mpix)
Смартфон Xiaomi Redmi Note 13 Pro 8GB/256GB Forest Green RU	29 999	34 999			Xiaomi	Зеленый	Февраль 2024 г.	Китай	187 г	6.67 ''	AMOLED	120 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G99 Ultra 2.20 ГГц	16 Mpix	Три модуля (200 + 8 + 2 Mpix)
Смартфон HUAWEI nova 10 SE 128GB Серебристый RU	13 999		4.8	8	HUAWEI	Серебристый	Март 2023 г.	Китай	184 г	6.67 ''	OLED		128 ГБ	8 ГБ	4500	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	16 Mpix	Три модуля (108 + 8 + 2 Mpix)
Смартфон Infinix HOT 40 Pro 8/256 Золотистый RU	16 999	19 999			Infinix	Золотистый	Февраль 2024 г.	Китай	202 г	6.78 ''	Full HD+	90 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G99 2.20 ГГц	32 Mpix	Два модуля (108 + 2 Mpix)
Смартфон TECNO Camon 19 128GB Эко-черный RU	9 999		5.0	14	TECNO	Черный	Июль 2022 г.	Китай	205 г	6.8 ''	Full HD+		128 ГБ	6 ГБ	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	16 Mpix	Три модуля (64 + 50 + 2 Mpix)
Смартфон TECNO Spark Go 2023 64GB Синий RU	5 999		5.0	1	TECNO	Синий	Март 2023 г.	Китай	195 г	6.56 ''	IPS		64 ГБ	3 ГБ	5000	4-ядерный MediaTek Helio A22 2.00 ГГц	5 Mpix	Два модуля (13 + 2 Mpix)
Смартфон Infinix Smart 8 Pro 4/256GB Черный RU	11 999	13 999			Infinix	Черный	Август 2024 г.	Китай	184 г	6.56 ''	HD Plus IPS	90 Гц	256 ГБ	4 ГБ	5000	8-ядерный MediaTek G36 2.20 ГГц	8 Mpix	Два модуля (50 + 0.80 Mpix)
Смартфон HONOR X6a 6/128GB Черный EAC	16 999	18 999			HONOR	Черный		Китай	188 г	6.56 ''	TFT LCD		128 ГБ	6 ГБ	5200	8-ядерный MediaTek Helio G36 2.20 ГГц	5 Mpix	Три модуля (50 + 2 + 2 Mpix)
Смартфон Samsung Galaxy S23 Ultra 512GB Черный EAC	109 999				Samsung	Черный	Февраль 2023 г.	Вьетнам	234 г	6.8 ''	Dynamic AMOLED 2X		512 ГБ	12 ГБ	5000	8-ядерный Qualcomm Snapdragon 8 Gen 2 2.80 ГГц	12 Mpix	Четыре модуля (200 + 12 + 10 + 10 Mpix)
Смартфон realme Note 50 3/64GB Синий RU	7 499		4.8	12	realme	Синий	Январь 2024 г.	Китай	190 г	6.7 ''	IPS		64 ГБ	3 ГБ	5000	8-ядерный Unisoc Tiger T612 1.80 ГГц	5 Mpix	Два модуля (13 + 0.08 Mpix)
Смартфон TECNO Spark Go 2024 4/64GB Золотой RU	7 999	9 990	5.0	2	TECNO	Золотистый	Январь 2024 г.	Китай	195 г	6.6 ''	IPS		64 ГБ	4 ГБ	5000	8-ядерный Unisoc Tiger T606 1.60 ГГц	8 Mpix	Два модуля (13 + 2 Mpix)
Смартфон TECNO Camon 19 128GB Зеленый RU	9 999		5.0	14	TECNO	Зеленый	Июль 2022 г.	Китай	205 г	6.8 ''	Full HD+		128 ГБ	6 ГБ	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	16 Mpix	Три модуля (64 + 50 + 2 Mpix)
Смартфон realme 11 8/128GB Черный RU	14 999	26 999	5.0	24	realme	Черный	Октябрь 2023 г.	Китай	178 г	6.43 ''	Full HD Plus AMOLED		128 ГБ	8 ГБ	5000	8-ядерный MediaTek G99 2.20 ГГц	16 Mpix	Два модуля (108 + 2 Mpix)
Смартфон TECNO Pova 6 12/256GB Comet Green RU	22 499	26 990	5.0	2	TECNO	Зеленый	Март 2024 г.	Китай	195 г	6.8 ''	Full HD Plus AMOLED	120 Гц	256 ГБ	12 ГБ	6000	8-ядерный MediaTek MediaTek G99 Ultimate 2.40 ГГц	Два модуля (32 Mpix)	108 Mpix
Смартфон Xiaomi Redmi Note 12 6/128GB Onyx Gray RU	13 999	22 990	3.3	3	Xiaomi	Серый	Март 2023 г.	Китай	186 г	6.67 ''	AMOLED	120 Гц	128 ГБ	6 ГБ	5000	8-ядерный Qualcomm Snapdragon 685 2.80 ГГц	13 Mpix	Три модуля (50 + 8 + 2 Mpix)
Смартфон TECNO Pova 6 Neo 8/256GB Starry Silver RU	18 999	20 999	5.0	2	TECNO	Серебристый	Март 2024 г.	Китай	206 г	6.8 ''	Full HD+	120 Гц	256 ГБ	8 ГБ	7000	8-ядерный MediaTek G99 Ultimate 2.20 ГГц	8 Mpix	Два модуля (50 + 0.08 Mpix)
