,model,rating,rating_count,release_date,weight(g),diagonal(inches),refresh_rate(Hz),memory(Gb),ram(Gb),battery(mAh),front_camera(Mpix),main_camera,expensive,color_Белый,color_Голубой,color_Желтый,color_Зеленый,color_Золотистый,color_Оранжевый,color_Розовый,color_Светло-зеленый,color_Серебристый,color_Серый,color_Синий,color_Сиреневый,color_Темно-серый,color_Фиолетовый,color_Черный,country_Китай,company_HONOR,company_HUAWEI,company_Infinix,company_Itel,company_Poco,company_Samsung,company_TECNO,company_Xiaomi,company_realme,display_Dynamic AMOLED,display_Dynamic AMOLED 2X,display_Full HD IPS,display_Full HD Plus AMOLED,display_Full HD+,display_HD Plus IPS,display_IPS,display_IPS LCD,display_LCD,display_LCD IPS,display_LTPS,display_LTPS LCD,display_OLED,display_PLS LCD,display_PLS TFT LCD,display_Super AMOLED,display_TFT,display_TFT IPS,display_TFT LCD,display_TN,processor_4-ядерный MediaTek Helio A22 2.00 ГГц,processor_8-ядерный Exynos 2400 3.30 ГГц,processor_8-ядерный Exynos 850 2.00 ГГц,processor_8-ядерный Exynos Exynos 1280 2.40 ГГц,processor_8-ядерный Google Tensor G3,processor_8-ядерный Kirin 710A,processor_8-ядерный MediaTek 6762 2.00 ГГц,processor_8-ядерный MediaTek 6765H 2.30 ГГц,processor_8-ядерный MediaTek 6769V/CZ 2.00 ГГц,"processor_8-ядерный MediaTek 685 G85, 2.00 ГГц",processor_8-ядерный MediaTek Dimensity 1080 5G 2.60 ГГц,processor_8-ядерный MediaTek Dimensity 6020 2.20 ГГц,processor_8-ядерный MediaTek Dimensity 6080 2.40 ГГц,processor_8-ядерный MediaTek Dimensity 6080 5G 2.40 ГГц,processor_8-ядерный MediaTek Dimensity 6100+ 2.20 ГГц,processor_8-ядерный MediaTek Dimensity 7050 2.60 ГГц,processor_8-ядерный MediaTek Dimensity 7050 5G 2.60 ГГц,processor_8-ядерный MediaTek Dimensity 7200 Ultra 2.80 ГГц,processor_8-ядерный MediaTek Dimensity 8050 3.00 ГГц,processor_8-ядерный MediaTek Dimensity 8200 3.00 ГГц,processor_8-ядерный MediaTek Dimensity 8200 Ultimate 5G 3.00 ГГц,processor_8-ядерный MediaTek Dimensity 9200+ 3.20 ГГц,processor_8-ядерный MediaTek Dimensity D8200 Ultimate 3.10 ГГц,processor_8-ядерный MediaTek G36 2.20 ГГц,processor_8-ядерный MediaTek G99 2.20 ГГц,processor_8-ядерный MediaTek G99 Ultimate 2.20 ГГц,processor_8-ядерный MediaTek HELIO G99 2.20 ГГц,processor_8-ядерный MediaTek Helio G25 2.00 ГГц,processor_8-ядерный MediaTek Helio G36 2.20 ГГц,processor_8-ядерный MediaTek Helio G37 2.30 ГГц,processor_8-ядерный MediaTek Helio G85 2.00 ГГц,processor_8-ядерный MediaTek Helio G88 2.00 ГГц,processor_8-ядерный MediaTek Helio G91 Ultra 2.00 ГГц,processor_8-ядерный MediaTek Helio G96 2.00 ГГц,processor_8-ядерный MediaTek Helio G96 2.05 ГГц,processor_8-ядерный MediaTek Helio G99 2.00 ГГц,processor_8-ядерный MediaTek Helio G99 2.20 ГГц,processor_8-ядерный MediaTek Helio G99 Ultimate 2.00 ГГц,processor_8-ядерный MediaTek Helio G99 Ultimate 2.20 ГГц,processor_8-ядерный MediaTek Helio G99 Ultra 2.20 ГГц,processor_8-ядерный MediaTek HelioG88 2.00 ГГц,processor_8-ядерный MediaTek MediaTek Dimensity 8300-Ultra 3.35 ГГц,processor_8-ядерный MediaTek MediaTek G99 Ultimate 2.40 ГГц,processor_8-ядерный MediaTek MediaTek Helio G99 Ultra 2.30 ГГц,processor_8-ядерный MediaTek Mediatek Helio G100 2.20 ГГц,processor_8-ядерный Qualcomm Snapdragon 6 Gen1 2.60 ГГц,processor_8-ядерный Qualcomm Snapdragon 680 2.40 ГГц,processor_8-ядерный Qualcomm Snapdragon 685 2.80 ГГц,processor_8-ядерный Qualcomm Snapdragon 695 2.20 ГГц,processor_8-ядерный Qualcomm Snapdragon 7 Gen 1 2.50 ГГц,processor_8-ядерный Qualcomm Snapdragon 7 Gen 3 2.63 ГГц,processor_8-ядерный Qualcomm Snapdragon 778G Plus 5G 2.50 ГГц,processor_8-ядерный Qualcomm Snapdragon 7s Gen 2 7s Gen2 2.40 ГГц,processor_8-ядерный Qualcomm Snapdragon 7s Gen2 2.60 ГГц,processor_8-ядерный Qualcomm Snapdragon 8 Gen 2 2.80 ГГц,processor_8-ядерный Qualcomm Snapdragon 8 Gen 2 3.36 ГГц,processor_8-ядерный Qualcomm Snapdragon 8 Gen 2 Mobile 2.80 ГГц,processor_8-ядерный Qualcomm Snapdragon 8 Gen 3 3.20 ГГц,processor_8-ядерный Qualcomm Snapdragon 8 Gen 3 3.30 ГГц,processor_8-ядерный Qualcomm Snapdragon 8 Gen 3 3.39 ГГц,processor_8-ядерный Qualcomm Snapdragon 8s Gen3 3.00 ГГц,processor_8-ядерный Qualcomm Snapdragon Qualcomm Snapdragon 6 Gen 1 Adreno A710 2.20 ГГц,processor_8-ядерный Samsung Dimensity 1080 2.60 ГГц,processor_8-ядерный Samsung Exynos 1380 2.40 ГГц,processor_8-ядерный Samsung Exynos 1480 2.40 ГГц,processor_8-ядерный Samsung Exynos 2200,processor_8-ядерный Samsung Exynos 2200 2.50 ГГц,processor_8-ядерный Unisoc SC9863A 1.60 ГГц,processor_8-ядерный Unisoc SC9863A1 1.60 ГГц,processor_8-ядерный Unisoc Spreadtrum SC9863A 2.00 ГГц,processor_8-ядерный Unisoc T603 1.60 ГГц,processor_8-ядерный Unisoc T603 1.80 ГГц,processor_8-ядерный Unisoc T606 1.60 ГГц,processor_8-ядерный Unisoc T606 2.20 ГГц,processor_8-ядерный Unisoc T612 1.80 ГГц,processor_8-ядерный Unisoc T612 1.82 ГГц,"processor_8-ядерный Unisoc T612 UMS9230H, 1.80 ГГц",processor_8-ядерный Unisoc T615 1.80 ГГц,processor_8-ядерный Unisoc T616 2.00 ГГц,processor_8-ядерный Unisoc TIGER T612 1.80 ГГц,processor_8-ядерный Unisoc Tiger T606 1.60 ГГц,processor_8-ядерный Unisoc Tiger T612 1.80 ГГц
0,Смартфон Xiaomi Redmi Note 13 8/512GB Ice Blue  RU,1.0,0.0196078431372549,2024-08,0.3013698630136985,0.3131868131868134,0.7142857142857142,0.4838709677419355,0.42857142857142855,0.39393939393939403,0.006828057107386716,Три модуля (108 + 8 + 2 Mpix),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Смартфон Samsung Galaxy A15 4/128GB Голубой EAC,0.0,0.0,2024-01,0.46575342465753433,0.21978021978022033,0.0,0.0967741935483871,0.14285714285714285,0.39393939393939403,0.004965859714463066,Три модуля (50 + 5 + 2 Mpix + 3D ToF),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Смартфон TECNO Spark 20 Pro+ 8/256GB Черный RU,1.0,0.00980392156862745,2024-02,0.547945205479452,0.384615384615385,0.7142857142857142,0.22580645161290322,0.42857142857142855,0.39393939393939403,0.01675977653631285,Три модуля (108 + 2 + 0.08 Mpix),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Смартфон HONOR X6a 128GB Небесно-голубой EAC,0.0,0.0,2024-06,0.3013698630136985,0.25274725274725274,0.0,0.0967741935483871,0.2857142857142857,0.4545454545454546,0.0,Три модуля (50 + 2 + 2 Mpix),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Смартфон Infinix HOT 30i 8/128 Белый RU,0.76,0.058823529411764705,2023-07,0.34246575342465757,0.25274725274725274,0.3571428571428572,0.0967741935483871,0.42857142857142855,0.39393939393939403,0.0018621973929236497,Два модуля (13 + 0.30 Mpix),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,Смартфон Infinix Smart 8 4/128GB Зеленый RU,1.0,0.0196078431372549,2023-11,0.24657534246575352,0.25274725274725274,0.0,0.0967741935483871,0.14285714285714285,0.39393939393939403,0.0018621973929236497,Два модуля (13 + 0.30 Mpix),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,Смартфон Xiaomi Redmi Note 13 Pro 8GB/256GB Forest Green RU,0.0,0.0,2024-02,0.2876712328767126,0.3131868131868134,0.7142857142857142,0.22580645161290322,0.42857142857142855,0.39393939393939403,0.006828057107386716,Три модуля (200 + 8 + 2 Mpix),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Смартфон HUAWEI nova 10 SE 128GB Серебристый RU,0.96,0.0784313725490196,2023-03,0.24657534246575352,0.3131868131868134,0.0,0.0967741935483871,0.42857142857142855,0.24242424242424243,0.006828057107386716,Три модуля (108 + 8 + 2 Mpix),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Смартфон Infinix HOT 40 Pro 8/256 Золотистый RU,0.0,0.0,2024-02,0.49315068493150704,0.3736263736263741,0.3571428571428572,0.22580645161290322,0.42857142857142855,0.39393939393939403,0.01675977653631285,Два модуля (108 + 2 Mpix),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Смартфон TECNO Camon 19 128GB Эко-черный RU,1.0,0.13725490196078433,2022-07,0.5342465753424657,0.384615384615385,0.0,0.0967741935483871,0.2857142857142857,0.39393939393939403,0.006828057107386716,Три модуля (64 + 50 + 2 Mpix),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
